FID,DWR_ID,Latitude,Longitude,OID_,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,OBJECTID,Shape_Leng,ID,gages,NHDWaterbo
34,PRWDITCO,37.666944000000001,-107.321443000000000,34,34,965764,0.002258919035700,-107.321443000000000,37.666944000000001,-107.322532958000000,37.664965438300001,-118.849668586000010,965764,0.045449226505700,17032639, ,-9999
35,TABDITCO,37.872776000000002,-107.158662000000010,35,35,1241467,0.008836465723940,-107.158662000000010,37.872776000000002,-107.167143611000000,37.870297008000001,-163.707496854000000,1241467,0.024463972280000,17905799, ,-9999
36,WEMDITCO,37.679166000000002,-107.321721000000000,36,36,965503,0.006116655287200,-107.321721000000000,37.679166000000002,-107.322558305000000,37.685225075200002,97.867886759699999,965503,0.046870726781500,17906115, ,-9999
37,WCSDITCO,37.600000999999999,-107.217828000000000,37,37,966256,0.001180346701100,-107.217828000000000,37.600000999999999,-107.216946877000000,37.599215608000002,-41.712324167699997,966256,0.001425695423440,17029300, ,-9999
38,DLFDT2CO,37.572504000000002,-106.999211000000000,38,38,966197,0.003674312418920,-106.999211000000000,37.572504000000002,-107.001852211000000,37.569949674999997,-135.958079609000010,966197,0.073011250019700,17029330, ,-9999
39,BEVRESCO,37.596116000000002,-106.666439000000000,39,39,966559,0.000176294940753,-106.666439000000000,37.596116000000002,-106.666611558000000,37.596079891800002,-168.181221765000000,966559,0.017246565331800,17908217, ,-9999
40,ALARANCO,37.388905000000001,-106.377290000000000,40,40,967659,0.000160307790618,-106.377290000000000,37.388905000000001,-106.377136428000000,37.388950981400001,16.668399472800001,967659,0.010381338716100,17897747, ,-9999
41,ALAWIGCO,37.402504000000000,-106.521980000000000,41,41,967674,0.000037482486916,-106.521980000000000,37.402504000000000,-106.522017482000000,37.402504051000001,179.922066591999990,967674,0.013957768888100,17897687, ,-9999
42,WFKMOUCO,37.403896000000003,-106.521705999999990,42,42,967706,0.000126680555001,-106.521705999999990,37.403896000000003,-106.521661916000000,37.404014762800003,69.635550727799995,967706,0.015593287019900,17897663, ,-9999
43,WFKCROCO,37.429172999999999,-106.584763000000000,43,43,967713,0.000048448420130,-106.584763000000000,37.429172999999999,-106.584775042999990,37.429219927699997,104.393666628999990,967713,0.016986531442700,17897579, ,-9999
44,TARBELCO,37.992496000000003,-106.793930000000000,44,44,1240974,0.004488312995590,-106.793930000000000,37.992496000000003,-106.797829949000000,37.994717564799998,150.332455517999990,1240974,0.057799298257300,9774289, ,-9999
45,CASCOSNM,36.896856000000000,-105.260458000000000,45,45,970453,0.000029212482318,-105.260458000000000,36.896856000000000,-105.260483073000000,36.896841009699997,-149.126221737000010,970453,0.003377164090280,17863226,       08253000,-9999
46,COSABONM,36.898361000000001,-105.254667000000000,46,46,970413,0.000115281004236,-105.254667000000000,36.898361000000001,-105.254569210000000,36.898299952400002,-31.975372323999999,970413,0.020614233449100,17863228,       08252500,-9999
47,COSBELNM,36.872805999999997,-105.283666999999990,47,47,970412,0.000168964754480,-105.283666999999990,36.872805999999997,-105.283694221000000,36.872972757600003,99.271075279000002,970412,0.010724963614800,17861934,       08254000,-9999
48,SANCOSNM,36.884166999999998,-105.281111000000000,48,48,970347,0.000012708799141,-105.281111000000000,36.884166999999998,-105.281116133000000,36.884155373699997,-113.819887318000000,970347,0.048447990008200,17863236,       08253500,-9999
49,ALFECKCO,38.854720999999998,-107.929169000000000,49,49,1341615,0.000455584425684,-107.929169000000000,38.854720999999998,-107.929476269000010,38.855057366899999,132.411538968999990,1341615,0.010759806473700,3233215, ,-9999
50,ALFFRUCO,38.826667999999998,-107.955276000000000,50,50,1341609,0.001042947916150,-107.955276000000000,38.826667999999998,-107.955086429999990,38.825642425300003,-79.527476626500004,1341609,0.074919603871000,3233283, ,-9999
51,TERCRECO,38.964708999999999,-107.567001000000000,51,51,1342625,0.000153016522496,-107.567001000000000,38.964708999999999,-107.566852796000010,38.964670926700002,-14.407577758100000,1342625,0.033596073619500,1337166, ,-9999
52,HUBABICO,38.982486999999999,-107.531723000000000,52,52,1342616,0.000067301988227,-107.531723000000000,38.982486999999999,-107.531655709000010,38.982488191100003,1.014028416100000,1342616,0.013699504324200,1337108, ,-9999
53,HUBBOWCO,38.925544000000002,-107.518389000000000,53,53,1342615,0.000314114716071,-107.518389000000000,38.925544000000002,-107.518700276999990,38.925501873000002,-172.292643392999990,1342615,0.002629506851340,1337230, ,-9999
54,LRASMICO,38.963417000000000,-107.736885000000000,54,54,1342637,0.000061500323616,-107.736885000000000,38.963417000000000,-107.736847096000010,38.963368568500002,-51.952482240000002,1342637,0.025819571397600,1337916, ,-9999
55,MINNPACO,38.869988999999997,-107.504223000000000,55,55,1342743,0.000341187621728,-107.504223000000000,38.869988999999997,-107.504205277000000,38.869648273000003,-87.022429140000000,1342743,0.018866704446200,1337948, ,-9999
56,NFGPANCO,38.857500000000002,-107.621944000000000,56,56,1342601,0.000701713899389,-107.621944000000000,38.857500000000002,-107.622633884000000,38.857628304700000,169.464501242000010,1342601,0.030770225235500,1337472,       09134100,-9999
57,TERBOWCO,38.903875999999997,-107.562001000000000,57,57,1342623,0.000238478750587,-107.562001000000000,38.903875999999997,-107.561981210000000,38.903638343799997,-85.239805591899994,1342623,0.008529237027080,1337308, ,-9999
58,LFSANOCO,37.817833000000000,-107.879110999999990,58,58,1243186,0.000143056251304,-107.879110999999990,37.817833000000000,-107.879177588999990,37.817706386200001,-117.740725045000000,1243186,0.054615079440700,18377654,       09171240,-9999
