,FID,DWR_ID,Latitude,Longitude,OID_,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,OBJECTID,Shape_Leng,ID,gages,NHDWaterbo
29,80,BIGUPPCO,39.131924,-107.918678,80,80,1340942,0.000202812963089,-107.918678,39.131924,-107.918831972,39.131791994,-139.392358467,1340942,0.0518921527462,3180916, ,-9999
30,81,COTPIPCO,39.125531,-107.967297,81,81,1341106,0.0103193364485,-107.967297,39.125531,-107.95754361,39.128901473,19.0635826966,1341106,0.0343246346113,3180914, ,-9999
31,82,OWECRECO,39.241645,-107.586732,82,82,1341931,0.00308368954538,-107.586732,39.241645,-107.58365201,39.241796006,2.80685458017,1341931,0.0882929329559,3181202, ,-9999
32,85,ILLRANCO,40.462482,-106.176971,85,85,1602004,0.00014958424963,-106.176971,40.462482,-106.177064823,40.4623654984,-128.845858027,1602004,0.0576490856168,16000046, ,-9999
33,86,MICWLDCO,40.741362,-106.272801,86,86,1603406,0.000660943769766,-106.272801,40.741362,-106.273001294,40.7407321359,-107.640462101,1603406,0.00206094434699,15996046, ,-9999
34,87,MICMERCO,40.61664,-106.083918,87,87,1601148,0.00147156825122,-106.083918,40.61664,-106.084692099,40.6178915125,121.738075852,1601148,0.0113187516188,15997310, ,-9999
35,88,MICTMPCO,40.740688,-106.281219,88,88,1603056,0.000346149121105,-106.281219,40.740688,-106.281272712,40.7410299565,98.9266276864,1603056,0.00906021903735,15996048, ,-9999
36,89,MORBSCCO,40.24552,-106.78669,89,89,1605453,0.000106491135407,-106.78669,40.24552,-106.786623942,40.2456035263,51.6605646621,1605453,0.0787374568495,1358260, ,-9999
37,90,BERBBLCO,40.044117,-107.071729,90,90,1606257,8.7817666643e-05,-107.071729,40.044117,-107.071733774,40.0442046878,93.1163398418,1606257,0.00817093577463,1356770, ,-9999
38,91,STELAKCO,40.79108,-106.9451,91,91,1606338,3.4653200589e-05,-106.9451,40.79108,-106.945073966,40.7911028712,41.2999658137,1606338,0.0029489593167,1353736, ,-9999
39,92,WLTNCKCO,40.408035,-106.786995,92,92,1605914,0.000336519743822,-106.786995,40.408035,-106.786749952,40.4078043555,-43.2656325817,1605914,0.0133002013149,1357372, ,-9999
40,93,WILBSLCO,40.791079,-106.94505,93,93,1606338,2.250024568e-06,-106.94505,40.791079,-106.94505169,40.791077515,-138.700034301,1606338,0.0029489593167,1353736, ,-9999
41,95,FARMERCO,37.139717,-107.753405,95,95,964956,0.00019032006329,-107.753405,37.139717,-107.753388554,37.1399066081,85.0426200864,964956,0.159452495031,17015255, ,-9999
42,96,HFC930CO,40.394335,-105.216528,96,96,1599562,0.0160645976041,-105.216528,40.394335,-105.212822214,40.378703671,-76.6628735639,1599562,0.0313132764488,12956, ,-9999
43,98,LONBLOCO,37.058445,-108.175139,98,98,964262,8.3688401905e-05,-108.175139,37.058445,-108.175134485,37.0583614335,-86.9076691492,964262,0.0379261506233,16998828, ,-9999
44,99,UNISRNCO,40.334115,-104.783653,99,99,1596978,0.00113256513652,-104.783653,40.334115,-104.784751721,40.3343898002,165.957873578,1596978,0.0372730323802,226581, ,-9999
45,104,CLAWASCO,40.423088,-104.677366,104,104,1597402,0.00013166641112,-104.677366,40.423088,-104.677390277,40.422958591,-100.624982664,1597402,0.0663221506702,2903261, ,-9999
